url	chapt_title	img_path
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/data-tables.html	43 Data Tables	resources/chapt_screen_images/data-tables.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/tables-in-r.html	44 Tables in R	resources/chapt_screen_images/tables-in-r.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/multiple-plots-in-r.html	45 Multiple Plots in R	resources/chapt_screen_images/multiple-plots-in-r.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/advanced-data-visualization.html	46 Advanced Data Visualization	resources/chapt_screen_images/advanced-data-visualization.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/data-visualization-1.html	47 Data Visualization	resources/chapt_screen_images/data-visualization-1.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/data-visualization-project.html	48 Data Visualization Project	resources/chapt_screen_images/data-visualization-project.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/getting-statistics.html	49 Getting statistics	resources/chapt_screen_images/getting-statistics.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/translating-questions-to-data-science-questions.html	50 Translating Questions to Data Science Questions	resources/chapt_screen_images/translating-questions-to-data-science-questions.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/do-i-have-the-data-i-need.html	51 Do I Have The Data I Need?	resources/chapt_screen_images/do-i-have-the-data-i-need.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/descriptive-analysis.html	52 Descriptive Analysis	resources/chapt_screen_images/descriptive-analysis.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/exploratory-analysis.html	53 Exploratory Analysis	resources/chapt_screen_images/exploratory-analysis.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/inference-overview.html	54 Inference: Overview	resources/chapt_screen_images/inference-overview.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/inference-linear-regression.html	55 Inference: Linear Regression	resources/chapt_screen_images/inference-linear-regression.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/inference-multiple-regression.html	56 Inference: Multiple Regression	resources/chapt_screen_images/inference-multiple-regression.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/inference-examples.html	57 Inference: Examples	resources/chapt_screen_images/inference-examples.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/inference-practice.html	58 Inference: Practice	resources/chapt_screen_images/inference-practice.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/prediction-and-machine-learning.html	59 Prediction and Machine Learning	resources/chapt_screen_images/prediction-and-machine-learning.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/stats-project.html	60 Stats Project	resources/chapt_screen_images/stats-project.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/stats-project-exercise.html	61 Stats Project Exercise	resources/chapt_screen_images/stats-project-exercise.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/sharing-results.html	62 Sharing results	resources/chapt_screen_images/sharing-results.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/reproducibility.html	63 Reproducibility	resources/chapt_screen_images/reproducibility.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/version-control-1.html	64 Version Control	resources/chapt_screen_images/version-control-1.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/github.html	65 GitHub	resources/chapt_screen_images/github.png
https://datatrail-jhu.github.io/DataTrail_ReOrg/no_toc/creating-a-repository.html	66 Creating A Repository	resources/chapt_screen_images/creating-a-repository.png
